event_id,measure,position,official_trigger_point
181,131,1+1/2-of-3,m131 1+1/2-of-3
182,132,1+1/2-of-3,m132 1+1/2-of-3
183,132,2+1/2-of-3,m132 2+1/2-of-3
184,133,2+1/2-of-3,m133 2+1/2-of-3
185,134,3+1/2-of-3,m134 3+1/2-of-3
186,135,1+1/2-of-3,m135 1+1/2-of-3
187,135,3-of-3,m135 3-of-3
188,137,2+1/2-of-3,m137 2+1/2-of-3
189,138,2-of-3,m138 2-of-3
190,138,3+1/2-of-3,m138 3+1/2-of-3
191,139,2+1/2-of-3,m139 2+1/2-of-3
192,140,2-of-3,m140 2-of-3
