event_id,measure,position,variant,channel_mode,sample,source_start_ms,source_end_ms,duration_ms,fade_in_ms,fade_out_ms,timing_rule,timing_note
17,16,2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-017-tenor-bass.mp3,45441.0,49558.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
18,17,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-018-soprano.mp3,47206.0,53087.941,5881.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
18,17,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-018-alto.mp3,47206.0,53087.941,5881.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
18,17,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-018-tenor-bass.mp3,47206.0,53087.941,5881.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
19,18,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-019-soprano.mp3,50735.0,56617.941,5882.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
19,18,3-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-019-alto.mp3,50735.0,56617.941,5882.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
19,18,3-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-019-tenor-bass.mp3,50735.0,56617.941,5882.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
20,20,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-020-soprano.mp3,54265.0,62132.941,7867.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
20,20,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-020-alto.mp3,54265.0,62132.941,7867.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
20,20,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-020-tenor-bass.mp3,54265.0,62132.941,7867.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
21,22,2+3/8-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-021-soprano.mp3,59780.0,62499.941,2719.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
21,22,2+3/8-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-021-alto.mp3,59780.0,62499.941,2719.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
21,22,2+3/8-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-021-tenor-bass.mp3,59780.0,62499.941,2719.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
22,22,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-022-soprano.mp3,60147.0,66029.941,5882.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
22,22,3-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-022-alto.mp3,60147.0,66029.941,5882.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
22,22,3-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-022-tenor-bass.mp3,60147.0,66029.941,5882.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
23,24,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-023-soprano.mp3,63677.0,66617.941,2940.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
23,24,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-023-alto.mp3,63677.0,66617.941,2940.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
23,24,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-023-tenor-bass.mp3,63677.0,66617.941,2940.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
24,24,2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-024-soprano.mp3,64265.0,68970.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
