id,measure,position,onset_seconds,onset_milliseconds,event_duration_seconds,event_end_seconds,tempo_bpm,meter,primer_count,sample_length,measure_words,timing_note,primer
74,55,2-of-3,141.568627,141569,1.724083,143.29271,72.0,3/4,9,SHORT,"[""reversed"", ""-impact sound event""]",musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
75,55,2+1/2-of-3,141.985294,141985,1.724083,143.709377,72.0,3/4,9,SHORT,"[""reversed"", ""-impact sound event""]",musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
76,55,3+1/2-of-3,142.818627,142819,1.724083,144.54271,72.0,3/4,6,SHORT,"[""reversed"", ""-impact sound event""]",musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""cyan"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}}"
77,56,1-of-3,143.235294,143235,1.724083,144.959377,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""orange"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""cyan"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}}"
78,56,1+1/2-of-3,143.651961,143652,1.724083,145.376044,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""orange"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""cyan"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}}"
79,56,2-of-3,144.068627,144069,1.724083,145.79271,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""orange"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""cyan"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}}"
80,56,2+1/2-of-3,144.485294,144485,1.724083,146.209377,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""cyan"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}}"
81,56,3-of-3,144.901961,144902,1.724083,146.626044,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""cyan"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}}"
82,56,3+1/2-of-3,145.318627,145319,1.724083,147.04271,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""red"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""cyan"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}}"
83,57,1-of-3,145.735294,145735,1.724083,147.459377,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""red"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""cyan"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}}"
84,57,1+1/2-of-3,146.151961,146152,1.724083,147.876044,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""red"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""cyan"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}}"
85,57,2-of-3,146.568627,146569,1.724083,148.29271,72.0,3/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""pink"": {""sample"": ""primerTones/short6.mp3"", ""note"": ""F#2""}, ""purple"": {""sample"": ""primerTones/short6.mp3"", ""note"": ""F#2""}}"
86,57,3-of-3,147.401961,147402,1.724083,149.126044,72.0,3/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""pink"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}, ""purple"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}}"
87,58,1+1/2-of-3,148.651961,148652,1.724083,150.376044,72.0,3/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""pink"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""purple"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}}"
88,58,2-of-3,149.068627,149069,1.724083,150.79271,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""cyan"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""yellow"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""pink"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""purple"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}}"
89,60,4+1/2-of-4,156.151961,156152,1.724083,157.876044,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""cyan"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
90,61,1+2/7-of-4,156.806722,156807,1.724083,158.530805,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""red"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""cyan"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""yellow"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""pink"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""purple"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}}"
91,61,1+1/2-of-4,156.985294,156985,1.724083,158.709377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""red"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""cyan"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""yellow"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""pink"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""purple"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}}"
92,61,3-of-4,158.235294,158235,1.724083,159.959377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
93,61,3+1/2-of-4,158.65196,158652,1.724083,160.376043,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""red"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""cyan"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
94,62,3-of-3,161.568628,161569,6.739625,168.308253,72.0,3/4,3,LONG,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/long71.mp3"", ""note"": ""A3""}, ""pink"": {""sample"": ""primerTones/long71.mp3"", ""note"": ""A3""}, ""purple"": {""sample"": ""primerTones/long71.mp3"", ""note"": ""A3""}}"
95,63,3-of-3,164.068628,164069,6.739625,170.808253,72.0,3/4,3,LONG,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/long61.mp3"", ""note"": ""B2""}, ""pink"": {""sample"": ""primerTones/long61.mp3"", ""note"": ""B2""}, ""purple"": {""sample"": ""primerTones/long61.mp3"", ""note"": ""B2""}}"
96,65,2-of-3,168.235294,168235,6.739625,174.974919,72.0,3/4,3,LONG,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/long60.mp3"", ""note"": ""A#2""}, ""pink"": {""sample"": ""primerTones/long60.mp3"", ""note"": ""A#2""}, ""purple"": {""sample"": ""primerTones/long60.mp3"", ""note"": ""A#2""}}"
97,66,3-of-4,171.568628,171569,1.724083,173.292711,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}}"
98,66,3+1/2-of-4,171.985294,171985,1.724083,173.709377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""magenta"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""orange"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}}"
99,67,2-of-4,174.068627,174069,1.724083,175.79271,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""yellow"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}}"
100,67,2+1/2-of-4,174.485294,174485,1.724083,176.209377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""yellow"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""A#2""}}"
101,67,3+2/7-of-4,175.140056,175140,1.724083,176.864139,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
102,67,3+1/2-of-4,175.318627,175319,1.724083,177.04271,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""blue"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""red"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""cyan"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""yellow"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""pink"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""purple"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}}"
103,68,3-of-4,178.235294,178235,1.724083,179.959377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short44.mp3"", ""note"": ""G#5""}, ""magenta"": {""sample"": ""primerTones/short44.mp3"", ""note"": ""G#5""}, ""orange"": {""sample"": ""primerTones/short44.mp3"", ""note"": ""G#5""}, ""blue"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""red"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""cyan"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}}"
104,68,3+1/2-of-4,178.65196,178652,1.724083,180.376043,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""blue"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""red"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""cyan"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""yellow"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""pink"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""purple"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}}"
105,68,4+1/4-of-4,179.27696,179277,1.724083,181.001043,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""magenta"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""orange"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""yellow"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""G#3""}, ""pink"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""G#3""}, ""purple"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""G#3""}}"
106,69,1-of-4,179.901961,179902,1.724083,181.626044,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
107,69,1+1/2-of-4,180.318628,180319,1.724083,182.042711,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
108,69,2-of-4,180.735294,180735,1.724083,182.459377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
109,69,2+1/2-of-4,181.151961,181152,1.724083,182.876044,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}, ""purple"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}}"
110,69,2+3/4-of-4,181.360294,181360,1.724083,183.084377,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short42.mp3"", ""note"": ""F#5""}, ""magenta"": {""sample"": ""primerTones/short42.mp3"", ""note"": ""F#5""}, ""orange"": {""sample"": ""primerTones/short42.mp3"", ""note"": ""F#5""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}, ""purple"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}}"
111,69,3-of-4,181.568628,181569,1.724083,183.292711,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}, ""pink"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}, ""purple"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""D#3""}}"
112,69,3+3/4-of-4,182.193628,182194,1.724083,183.917711,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}}"
113,69,4-of-4,182.401961,182402,1.724083,184.126044,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""yellow"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
114,69,4+1/2-of-4,182.818628,182819,1.724083,184.542711,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
115,70,1-of-3,183.235294,183235,1.724083,184.959377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
116,70,2-of-3,184.068627,184069,1.724083,185.79271,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}}"
117,70,3-of-3,184.901961,184902,6.739625,191.641586,72.0,3/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long90.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/long90.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/long90.mp3"", ""note"": ""E5""}, ""blue"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/long66.mp3"", ""note"": ""E3""}, ""pink"": {""sample"": ""primerTones/long66.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/long66.mp3"", ""note"": ""E3""}}"
118,71,2-of-3,186.568627,186569,6.739625,193.308252,72.0,3/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long88.mp3"", ""note"": ""D5""}, ""magenta"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""orange"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""blue"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""red"": {""sample"": ""primerTones/long76.mp3"", ""note"": ""D4""}, ""cyan"": {""sample"": ""primerTones/long76.mp3"", ""note"": ""D4""}, ""yellow"": {""sample"": ""primerTones/long68.mp3"", ""note"": ""F#3""}, ""pink"": {""sample"": ""primerTones/long64.mp3"", ""note"": ""D3""}, ""purple"": {""sample"": ""primerTones/long64.mp3"", ""note"": ""D3""}}"
