id,measure,position,onset_seconds,onset_milliseconds,event_duration_seconds,event_end_seconds,tempo_bpm,meter,primer_count,sample_length,measure_words,timing_note,primer
21,22,2+3/8-of-4,50.220589,50221,0.0,50.220589,102.0,4/4,0,SHORT,[],musicxml_tempo_encoded,{}
22,22,3-of-4,50.588236,50588,0.0,50.588236,102.0,4/4,0,SHORT,[],musicxml_tempo_encoded,{}
23,24,1-of-4,54.117647,54118,1.724083,55.84173,102.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""red"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""cyan"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
24,24,2-of-4,54.705882,54706,1.724083,56.429965,102.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""red"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""cyan"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""yellow"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
25,25,2-of-4,57.058823,57059,1.724083,58.782906,102.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""red"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""cyan"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""yellow"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""pink"": {""sample"": ""primerTones/short9.mp3"", ""note"": ""A2""}, ""purple"": {""sample"": ""primerTones/short9.mp3"", ""note"": ""A2""}}"
26,27,3-of-4,62.352942,62353,0.0,62.352942,102.0,4/4,0,SHORT,[],musicxml_tempo_encoded,{}
27,28,3-of-4,64.705883,64706,1.724083,66.429966,102.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""red"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""cyan"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""yellow"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""pink"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""purple"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}}"
28,31,1+1/2-of-4,71.985294,71985,1.724083,73.709377,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""Eb5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""Eb5""}, ""blue"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""red"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""cyan"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""yellow"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""pink"": {""sample"": ""primerTones/short12.mp3"", ""note"": ""C3""}, ""purple"": {""sample"": ""primerTones/short12.mp3"", ""note"": ""C3""}}"
29,32,2+1/2-of-3,76.151961,76152,1.724083,77.876044,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""blue"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""pink"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""purple"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}}"
30,32,3+1/2-of-3,76.985294,76985,1.724083,78.709377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""Eb5""}, ""orange"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""Eb5""}, ""blue"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""red"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""cyan"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""yellow"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""pink"": {""sample"": ""primerTones/short12.mp3"", ""note"": ""C3""}, ""purple"": {""sample"": ""primerTones/short12.mp3"", ""note"": ""C3""}}"
31,34,3-of-3,81.568628,81569,1.724083,83.292711,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""cyan"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""yellow"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""pink"": {""sample"": ""primerTones/short12.mp3"", ""note"": ""C3""}, ""purple"": {""sample"": ""primerTones/short12.mp3"", ""note"": ""C3""}}"
32,35,1+1/2-of-3,82.818628,82819,1.724083,84.542711,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""cyan"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""yellow"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""pink"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""purple"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}}"
33,35,2-of-3,83.235294,83235,1.724083,84.959377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""cyan"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""yellow"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""pink"": {""sample"": ""primerTones/short11.mp3"", ""note"": ""B2""}, ""purple"": {""sample"": ""primerTones/short11.mp3"", ""note"": ""B2""}}"
34,36,2-of-4,85.735294,85735,1.724083,87.459377,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""Ab4""}, ""red"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""Ab3""}, ""cyan"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""Ab3""}, ""yellow"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""pink"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""purple"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}}"
35,37,4+1/2-of-4,91.151961,91152,0.0,91.151961,72.0,4/4,0,SHORT,[],musicxml_tempo_encoded,{}
36,38,2-of-4,92.40196,92402,1.724083,94.126043,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""magenta"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""red"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""cyan"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}}"
37,38,2+1/2-of-4,92.818627,92819,1.724083,94.54271,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short42.mp3"", ""note"": ""F#5""}, ""magenta"": {""sample"": ""primerTones/short42.mp3"", ""note"": ""F#5""}, ""orange"": {""sample"": ""primerTones/short42.mp3"", ""note"": ""F#5""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""pink"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}, ""purple"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""F#4""}}"
